# Reconstructed SD data list, created using the Offline Framework
#
#      SdId         AugerId      GPSSec     GPSNSec   BadPeriod      YYMMDD      HHMMSS         MJD          T4          T5     LDFStat      Energy   EnergyErr       S1000    S1000Err    S1000Sys       Theta    ThetaErr         Phi      PhiErr   ThetaSite     PhiSite       NCand        NAct       NWork       Xcore       Ycore       Zcore    XcoreErr    YcoreErr    ZcoreErr     Easting    Northing          RA         Dec       RAErr      DecErr      GalLat     GalLong   GalLatErr  GalLongErr   PlaneChi2    PlaneNdf        Beta     BetaErr       Gamma    GammaErr     LDFchi2      LDFNdf       RCurv    RCurvErr    RiseTime RiseTimeErr    TResMean  TResSpread
   67355019    220750001600  1331467231   379882000           0      220316      120013  5.9655e+04          22           0         4.5  3.0739e+00  7.3517e-01  1.1394e+01  2.6429e+00  2.2817e+00  5.0700e+01  6.8557e-01  1.0826e+02  8.4540e-01  5.0986e+01  1.0845e+02           4           4  0.0000e+00    -18864.7     27174.2       -18.4  2.0187e+02  2.4953e+02  0.0000e+00    458335.5   6126313.8  2.7022e+02  1.3803e+01  7.4375e-01  6.1345e-01  1.7333e+01  3.9878e+01  7.8766e-01  5.5194e-01  6.4376e+00           1 -1.8733e+00  0.0000e+00  1.1546e-01  0.0000e+00  7.2458e-01           1  1.4898e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  6.1732e-02  1.4847e+00
   67355020    220750002600  1331467241   857767000           0      220316      120023  5.9655e+04          18           2         4.5  1.5224e+00  1.8751e-01  7.7894e+00  9.3045e-01  7.0030e-01  3.7177e+01  7.3152e-01  1.4074e+02  1.0507e+00  3.7318e+01  1.4052e+02           3           3  0.0000e+00      -497.5     24173.1       -52.4  3.9934e+01  6.7978e+01  0.0000e+00    476698.8   6123360.7  2.5671e+02 -8.2930e+00  4.4077e-01  8.6488e-01  1.8808e+01  1.2707e+01  6.0460e-01  7.9946e-01  2.0633e-05           0 -2.1034e+00  0.0000e+00  4.9277e-03  0.0000e+00  1.2852e-01           0  9.1344e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -2.0948e-03  1.9324e-03
   67355028    220750006100  1331467276    57208000           0      220316      120058  5.9655e+04          22           3         4.5  3.6688e+00  3.7393e-01  8.2135e+00  8.1189e-01  7.3556e-01  6.2184e+01  2.7041e-01 -3.6695e+01  2.7579e-01  6.2218e+01 -3.6723e+01           6           6  0.0000e+00     -2403.2     -9490.1       -14.9  7.2979e+01  6.5124e+01  0.0000e+00    474878.8   6089713.3  9.0113e+00 -4.4510e+01  3.7962e-01  2.4358e-01 -7.2348e+01  3.1202e+02  2.4689e-01  8.8282e-01  8.1919e+00           2 -1.4889e+00  0.0000e+00 -1.2948e-01  0.0000e+00  1.9566e+01           3  1.6008e+01  2.2448e+00  5.9729e+01  4.1284e+00  9.4946e-02  1.2758e+00
   67355033    220750007500  1331467290   394326000           0      220316      120112  5.9655e+04          18           3         4.5  1.1069e+00  1.6226e-01  6.2342e+00  8.8627e-01  4.3637e-01  1.3613e+01  2.0883e+00  5.2653e+01  5.1093e+00  1.3405e+01  5.3585e+01           3           4  0.0000e+00    -29849.4     -6680.4        -0.4  9.0739e+01  4.7979e+01  0.0000e+00    447442.4   6092452.2  2.9381e+02 -2.4146e+01  2.1921e+00  1.3438e+00 -1.9924e+01  1.5284e+01  1.5051e+00  2.0017e+00  7.3216e-06           0 -2.3116e+00  0.0000e+00  5.7805e-02  0.0000e+00  7.1904e-02           0  6.9757e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -6.3822e-04  1.7464e-03
   67355039    220750012600  1331467341   889571000           0      220316      120203  5.9655e+04          18           2         4.5  1.2354e+00  4.3231e-01  5.0518e+00  1.7145e+00  3.4299e-01  4.8364e+01  1.2927e+00 -3.8049e+01  9.7898e-01  4.8487e+01 -3.8068e+01           3           3  0.0000e+00     18443.6      1162.8       -59.0  2.9422e+02  2.0331e+02  0.0000e+00    495686.0   6100412.2  3.5036e+02 -4.9427e+01  1.9449e+00  7.7865e-01 -6.1781e+01  3.3470e+02  1.1991e+00  1.8542e+00  2.5048e-08           0 -1.8586e+00  0.0000e+00  1.2136e-01  0.0000e+00  9.2396e-02           0  1.1002e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  3.7141e-05  1.0216e-04
   67355044    220750015000  1331467365   992992000           0      220316      120227  5.9655e+04          18           3         4.5  3.5450e-01  1.0145e-01  1.6758e+00  4.6512e-01  2.7695e-01  4.4095e+01  1.5429e+00  5.5413e+01  1.5323e+00  4.4198e+01  5.5636e+01           3           3  0.0000e+00     -8595.5     19719.7       -14.2  1.0732e+02  2.0676e+02  0.0000e+00    468616.9   6118889.7  3.0866e+02  3.2207e+00  1.1122e+00  1.5114e+00 -2.1167e+01  4.8365e+01  1.0782e+00  1.6456e+00  8.5170e-06           0 -1.8674e+00  0.0000e+00  6.5211e-02  0.0000e+00  6.7702e-04           0  9.2976e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -1.3849e-03  1.1755e-03
   67355045    220750015600  1331467371   840311000           0      220316      120233  5.9655e+04          18           3         4.5  1.1678e+00  1.8094e-01  6.6168e+00  9.9429e-01  3.8936e-01  2.3711e+01  1.7731e+00  1.8590e+01  1.4957e+00  2.3732e+01  1.8673e+01           3           4  0.0000e+00       780.2      4764.9        -7.0  8.1201e+01  6.1723e+01  0.0000e+00    478024.4   6103967.6  3.1036e+02 -2.5031e+01  1.4877e+00  1.2994e+00 -3.4420e+01  1.9916e+01  9.7688e-01  1.9362e+00  6.0814e-07           0 -2.2503e+00  0.0000e+00  4.9912e-02  0.0000e+00  4.4745e-01           0  7.7229e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -2.3753e-04  4.6845e-04
   67355054    220750021200  1331467427   142609000           0      220316      120329  5.9655e+04          18           3         4.5  7.2659e-01  1.8662e-01  2.3005e+00  5.7307e-01  3.6686e-01  5.6285e+01  8.1185e-01  2.7117e+01  8.6000e-01  5.6416e+01  2.7073e+01           3           4  0.0000e+00     11022.0     10386.6       -44.7  2.2418e+02  1.1069e+02  0.0000e+00    488245.8   6109611.7  3.3359e+02 -5.5138e-01  7.8839e-01  7.4116e-01 -4.3898e+01  6.1490e+01  7.2357e-01  1.1165e+00  1.3625e-05           0 -1.5577e+00  0.0000e+00  5.3810e-02  0.0000e+00  3.2779e-02           0  1.3998e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  1.6868e-03  1.5953e-03
   67355073    220750031700  1331467532   785321000           0      220316      120514  5.9655e+04          18           3         4.5  1.2630e+00  2.5000e-01  4.2944e+00  8.2438e-01  3.4016e-01  5.4022e+01  5.6989e-01 -4.3365e+01  6.0593e-01  5.3925e+01 -4.3263e+01           4           5  0.0000e+00      8499.9     24722.2       -76.8  1.2541e+02  9.2438e+01  0.0000e+00    485689.3   6123932.1  8.2994e-01 -5.2393e+01  9.4185e-01  4.8463e-01 -6.3181e+01  3.1931e+02  4.9932e-01  1.2457e+00  7.3871e-01           1 -1.6883e+00  0.0000e+00  9.6336e-02  0.0000e+00  7.1709e-01           1  1.3859e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  6.5400e-02  4.9081e-01
   67355075    220750032100  1331467536   297933000           0      220316      120518  5.9655e+04          18           2         4.5  4.4719e-01  1.1253e-01  2.1697e+00  5.2951e-01  3.1735e-01  4.2535e+01  1.1371e+00 -6.8395e+00  1.1263e+00  4.2635e+01 -6.6877e+00           3           4  0.0000e+00     13945.5     22972.0       -88.8  1.2675e+02  8.8194e+01  0.0000e+00    491135.9   6122196.6  3.3662e+02 -2.9276e+01  1.3174e+00  7.4309e-01 -5.8120e+01  2.0426e+01  1.1381e+00  1.4387e+00  1.4096e-05           0 -1.9194e+00  0.0000e+00  3.9041e-02  0.0000e+00  1.2174e-03           0  9.0616e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  1.4247e-03  2.0006e-03
   67355079    220750034700  1331467562   659676000           0      220316      120544  5.9655e+04          18           3         4.5  8.6951e-01  1.7509e-01  3.5769e+00  6.9856e-01  3.8707e-01  4.8527e+01  1.1104e+00 -4.4963e+01  8.0098e-01  4.8460e+01 -4.4937e+01           3           4  0.0000e+00     -6756.6      3815.0         6.2  1.1280e+02  1.1974e+02  0.0000e+00    470494.6   6102999.3  3.5222e+02 -5.4535e+01  1.9372e+00  5.7446e-01 -5.8720e+01  3.2613e+02  7.3425e-01  1.9774e+00  4.4762e-07           0 -1.8220e+00  0.0000e+00  1.3053e-01  0.0000e+00  1.6909e+00           0  1.1443e+01  0.0000e+00 -1.0000e+00 -1.0000e+00 -3.5335e-04  1.9111e-04
   67355091    220750041400  1331467629   958033000           0      220316      120651  5.9655e+04          18           3         4.5  1.0384e+00  2.0267e-01  5.3096e+00  1.0050e+00  4.0242e-01  3.8043e+01  7.5219e-01 -1.3170e+02  1.3137e+00  3.8074e+01 -1.3171e+02           3           5  0.0000e+00     -4873.1      -327.6         1.2  1.0857e+02  3.6934e+01  0.0000e+00    472387.4   6098864.0  2.3914e+02 -5.6131e+01  1.5127e+00  7.1449e-01 -2.0545e+00  3.2670e+02  9.4794e-01  5.6834e-01  2.3194e-07           0 -2.0644e+00  0.0000e+00  8.1030e-03  0.0000e+00  1.0084e-01           0  9.1689e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  2.0975e-04  2.2355e-04
   67355098    220750046400  1331467679   950597000           0      220316      120741  5.9655e+04          18           3         4.5  5.6102e-01  1.5369e-01  2.5835e+00  6.8642e-01  2.5799e-01  4.4643e+01  1.1054e+00 -1.3122e+02  1.2322e+00  4.4599e+01 -1.3122e+02           3           3  0.0000e+00      6283.6      1054.3       -20.3  1.4168e+02  1.0655e+02  0.0000e+00    483533.7   6100273.2  2.2764e+02 -5.7380e+01  2.0771e+00  8.4724e-01  5.7188e-01  3.2084e+02  1.0392e+00  9.4429e-01  3.8530e-06           0 -1.8872e+00  0.0000e+00  7.2819e-02  0.0000e+00  2.7365e-02           0  9.7273e+00  0.0000e+00 -1.0000e+00 -1.0000e+00 -8.8538e-04  8.6643e-04
   67355099    220750048000  1331467695   373138000           0      220316      120757  5.9655e+04          18           3         4.5  1.3330e+00  1.6892e-01  7.4580e+00  9.1657e-01  4.8694e-01  1.3150e+01  5.9738e-01 -8.0848e+01  4.1274e+00  1.2856e+01 -8.0274e+01           3           3  0.0000e+00     10965.8     34956.4       -54.1  5.1270e+01  3.4431e+01  0.0000e+00    488128.0   6134165.8  2.9004e+02 -4.7882e+01  1.3565e+00  6.4104e-01 -2.4383e+01  3.4987e+02  8.4591e-01  7.9403e-01  1.6110e-07           0 -2.3224e+00  0.0000e+00  5.2446e-02  0.0000e+00  2.0328e-02           0  7.1878e+00  0.0000e+00  3.5928e+02  3.5918e+01 -4.8461e-05  2.7753e-04
   67355110    220750057700  1331467792   994041000           0      220316      120934  5.9655e+04          18           3         4.5  3.6116e-01  8.9677e-02  2.0679e+00  4.9798e-01  2.3661e-01  3.0190e+01  1.1061e+00 -9.7232e+01  2.5632e+00  3.0358e+01 -9.7342e+01           3           3  0.0000e+00    -16123.5    -16789.7       -41.1  8.4856e+01  1.0394e+02  0.0000e+00    461185.4   6082383.6  2.7839e+02 -6.5143e+01  2.8603e+00  1.1997e+00 -2.2620e+01  3.2993e+02  1.2989e+00  1.1856e+00  7.9177e-05           0 -2.1167e+00  0.0000e+00  5.3951e-02  0.0000e+00  3.7182e-04           0  7.1299e+00  0.0000e+00 -1.0000e+00 -1.0000e+00  3.8950e-03  4.1026e-03
   67355111    220750060100  1331467816   708972000           0      220316      120958  5.9655e+04          18           3         4.5  7.4406e-01  1.6061e-01  3.2786e+00  6.8637e-01  3.5827e-01  4.6129e+01  7.0645e-01  3.4630e+01  9.6474e-01  4.5993e+01  3.5032e+01           3           3  0.0000e+00    -27541.1     12826.6        87.0  1.5216e+02  8.9300e+01  0.0000e+00    449700.6   6111953.1  3.2350e+02 -3.6580e+00  7.4764e-01  6.5276e-01 -3.7412e+01  5.0491e+01  7.1293e-01  8.6725e-01  1.9040e-06           0 -1.8725e+00  0.0000e+00  9.7898e-02  0.0000e+00  2.8531e+00           0  1.0519e+01  0.0000e+00 -1.0000e+00 -1.0000e+00  7.0918e-04  4.4571e-04
