Sat Apr  8 09:28:08 2023    performance/output.dat

         69375377 function calls (69262752 primitive calls) in 78.555 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   385350   28.649    0.000   28.649    0.000 {method 'count' of 'list' objects}
 30720000   10.486    0.000   12.640    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:732(floatconv)
   144465    9.267    0.000    9.267    0.000 /cr/users/filip/Binaries/Classifier.py:1309(<listcomp>)
    15000    5.377    0.000   18.017    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:999(<listcomp>)
   122588    4.232    0.000    4.232    0.000 {built-in method numpy.array}
 30781859    2.162    0.000    2.162    0.000 {method 'lower' of 'str' objects}
       71    1.811    0.026    1.811    0.026 {method 'encode' of 'ImagingEncoder' objects}
    96337    1.738    0.000   30.387    0.000 /cr/users/filip/Binaries/Classifier.py:1277(ToT)
   156654    1.671    0.000    1.720    0.000 {built-in method builtins.sum}
    48182    1.532    0.000    1.532    0.000 /cr/users/filip/Binaries/Classifier.py:1257(Th)
    20775    0.757    0.000    0.757    0.000 {method 'split' of 'str' objects}
     1920    0.570    0.000    0.570    0.000 {built-in method io.open}
    48155    0.479    0.000   25.754    0.001 /cr/users/filip/Binaries/Classifier.py:1299(ToTd)
        2    0.408    0.204   19.627    9.813 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:972(read_data)
        1    0.397    0.397   22.925   22.925 /cr/users/filip/Binaries/Signal.py:350(__init__)
   114705    0.323    0.000    0.323    0.000 {method 'read' of '_io.BufferedReader' objects}
     1001    0.312    0.000    0.312    0.000 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
30000/15000    0.308    0.000    0.322    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:946(pack_items)
    48182    0.282    0.000   43.109    0.001 /cr/users/filip/Binaries/Classifier.py:1219(__call__)
    80206    0.273    0.000    0.273    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1001    0.244    0.000    2.863    0.003 /cr/users/filip/Binaries/Signal.py:126(build_integral_trace)
113040/96570    0.223    0.000    1.433    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
     8444    0.218    0.000    0.225    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_api/__init__.py:65(check_isinstance)
    52052    0.182    0.000    0.631    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:162(_mean)
    52052    0.146    0.000    0.160    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
      702    0.142    0.000    0.149    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        6    0.132    0.022    0.132    0.022 {method 'readline' of '_io.BufferedReader' objects}
    52052    0.127    0.000    0.758    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:3322(mean)
    48182    0.120    0.000    0.394    0.000 /cr/users/filip/Binaries/Signal.py:117(get_trace_window)
     1001    0.100    0.000    0.414    0.000 /cr/users/filip/Binaries/Generator.py:406(build_baseline)
     3722    0.096    0.000    0.768    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:289(_read)
   393749    0.093    0.000    0.112    0.000 {built-in method builtins.isinstance}
    63488    0.092    0.000    0.092    0.000 {built-in method numpy.asanyarray}
147052/118869    0.085    0.000    0.133    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:290(stale)
      908    0.084    0.000    0.087    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
     2202    0.082    0.000    0.109    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:563(<listcomp>)
    10847    0.080    0.000    0.308    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:1046(update)
    49182    0.080    0.000    0.473    0.000 /cr/users/filip/Binaries/Signal.py:244(__iter__)
   150042    0.078    0.000    0.103    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/__init__.py:653(__getitem__)
    48182    0.073    0.000    1.606    0.000 /cr/users/filip/Binaries/Classifier.py:1253(Th2)
     2795    0.072    0.000    0.138    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/texmanager.py:107(get_font_config)
     1001    0.067    0.000    0.229    0.000 /cr/users/filip/Binaries/Signal.py:159(convert_to_VEM)
    41548    0.066    0.000    0.066    0.000 {built-in method numpy.asarray}
        1    0.065    0.065   78.564   78.564 /cr/users/filip/Binaries/Classifier.py:17(production_test)
    48152    0.064    0.000    0.622    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:162(wrapper)
    11963    0.062    0.000    0.107    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1691(normalize_kwargs)
161382/161058    0.055    0.000    0.122    0.000 {built-in method builtins.getattr}
     1915    0.053    0.000    0.053    0.000 {built-in method posix.stat}
408330/408159    0.053    0.000    0.053    0.000 {built-in method builtins.len}
    58332    0.049    0.000    0.057    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:334(_arg)
     2271    0.047    0.000    0.356    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:276(__init__)
    12191    0.045    0.000    0.109    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:767(__init__)
    27520    0.045    0.000    0.066    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:2014(_setattr_cm)
    31052    0.045    0.000    0.045    0.000 {method 'copy' of 'numpy.ndarray' objects}
    52052    0.043    0.000    0.850    0.000 <__array_function__ internals>:2(mean)
   294605    0.043    0.000    0.043    0.000 {method 'append' of 'list' objects}
   371702    0.042    0.000    0.042    0.000 {method 'get' of 'dict' objects}
        3    0.041    0.014    0.041    0.014 {built-in method posix.read}
     1001    0.040    0.000    0.040    0.000 /cr/users/filip/Binaries/Signal.py:134(<listcomp>)
       80    0.039    0.000    0.039    0.000 {method 'clear' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    48152    0.039    0.000    0.125    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:166(<listcomp>)
     5018    0.039    0.000    0.063    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/artist.py:149(__init__)
     1816    0.038    0.000    1.560    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:671(draw)
    15001    0.038    0.000    0.038    0.000 {method 'split' of 're.Pattern' objects}
    20068    0.036    0.000    0.126    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
     3651    0.035    0.000    0.035    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:106(_clip_dep_invoke_with_casting)
     1001    0.033    0.000    0.033    0.000 /cr/users/filip/Binaries/Signal.py:168(<listcomp>)
    13628    0.032    0.000    0.039    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:207(set_children)
    28496    0.032    0.000    0.040    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:276(process)
     1503    0.031    0.000    0.135    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:649(recache)
    11963    0.031    0.000    0.031    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/cbook/__init__.py:1730(<dictcomp>)
     2238    0.031    0.000    0.317    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/lines.py:724(draw)
    15100    0.030    0.000    0.035    0.000 /cr/users/filip/anaconda3/lib/python3.9/contextlib.py:86(__init__)
     7302    0.030    0.000    0.056    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_methods.py:91(_clip_dep_is_scalar_nan)
      908    0.030    0.000    1.299    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/backends/backend_agg.py:278(draw_tex)
        3    0.030    0.010    0.030    0.010 {built-in method _posixsubprocess.fork_exec}
    11244    0.030    0.000    0.069    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1900(__init__)
     4641    0.030    0.000    0.130    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/font_manager.py:658(__init__)
    35764    0.029    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/_api/__init__.py:101(check_in_list)
    15001    0.028    0.000    0.835    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/lib/npyio.py:963(split_line)
     2346    0.028    0.000    0.476    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/text.py:872(get_window_extent)
    23841    0.027    0.000    0.042    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:1783(__init__)
      703    0.027    0.000    0.740    0.001 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/axis.py:57(__init__)
     1861    0.027    0.000    0.087    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:245(_output)
       27    0.026    0.001    0.026    0.001 {method 'copy' of 'ImagingCore' objects}
      648    0.026    0.000    0.233    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/ticker.py:2052(_raw_ticks)
 1080/513    0.026    0.000    0.812    0.002 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/offsetbox.py:466(get_extent_offsets)
    45669    0.026    0.000    0.026    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:107(__init__)
   150042    0.025    0.000    0.025    0.000 {function RcParams.__getitem__ at 0x7faaeb6423a0}
30001/15001    0.025    0.000    0.336    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/numpy/core/_internal.py:908(__call__)
5564/4412    0.024    0.000    0.119    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/transforms.py:2441(get_affine)
     3722    0.024    0.000    0.034    0.000 /cr/users/filip/anaconda3/lib/python3.9/site-packages/matplotlib/dviread.py:462(<listcomp>)
   164099    0.023    0.000    0.023    0.000 {method 'items' of 'dict' objects}
